NAME	aNSCs	Astrocytes	Brown_adipocytes	Cardiac_fibroblasts	Dermal_fibroblasts	Endothelial_cells	Erythrocytes	Granulocytes	Macrophages	Microglia	Monocytes	Neurons	Neutrophils	NK_cells	NPCs	Oligodendrocytes	qNSCs	Plasma_cells	T_cells	White_adipocytes	Cardiomyocytes	Hepatocytes	B_cells	
Brsk1	13.561564587319602	155.36572567954704	22.620342595027406	88.42455876404038	52.38050869025987	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	48.18372195583116	12.538640937968701	229.1213867472096	14.35754618993035	12.538640937968701	60.75463633836999	1393.8849471724493	18.546095546486093	12.538640937968701	12.538640937968701	32.13425712210851	12.538640937968701	12.538640937968701	12.538640937968701	
Bsn	68.05343860121693	303.79743215349316	19.284526781539803	21.21230941001695	27.783020329379692	15.37894896789435	28.033494078948898	12.538640937968701	19.285618702122	262.30142768216757	26.47334351679139	1323.9863866036849	17.318945907499653	33.150961877414	40.68199600181639	101.12265773915502	16.474580640954347	26.520838549354007	27.731672901143106	30.4540234728272	12.538640937968701	12.538640937968701	23.609977521832903	
Bst1	12.538640937968701	12.538640937968701	15.05167530407535	111.052827680615	55.024064109389876	12.538640937968701	24.14297615662555	2338.5219898684613	289.75341220037143	23.281096736821702	178.2253640223009	15.3185906002258	1114.1604773239847	12.538640937968701	12.538640937968701	14.582052340788596	12.538640937968701	12.538640937968701	12.538640937968701	30.176701115010708	14.592541196734953	12.538640937968701	25.878444468350402	
Btf3	4296.457563382007	63.64523912972801	252.5016575784636	251.61660878086252	544.2101943173761	1310.1710782327905	140.63095745320004	71.44276419138653	178.315306465106	92.53013517398509	119.10937406511003	88.25808480296136	100.45468748211572	69.6588406947826	1161.1209924630705	769.8957647969493	747.0594962275047	556.0434519805377	150.18422677920194	287.6909981788257	145.03385125370795	751.0279871216035	166.01058928488	
Btk	12.538640937968701	15.553037865527003	15.05167530407535	12.538640937968701	12.538640937968701	12.538640937968701	58.175886213975936	738.7487119156089	300.55223739096243	429.7622320775472	345.43161713963184	12.538640937968701	522.2990094739048	12.538640937968701	12.538640937968701	18.117892604981602	12.538640937968701	339.8673660699742	19.3332196226382	23.857967719785655	12.538640937968701	13.99487441663305	504.3895658497599	
Btla	12.538640937968701	12.538640937968701	12.538640937968701	13.969767581770052	12.538640937968701	12.538640937968701	44.696797532244794	36.85362587804929	28.1530773937247	21.29312949312274	161.342746840465	26.803575979724947	22.884835061443745	12.538640937968701	15.871606476158698	12.538640937968701	13.654739954078249	768.093972948076	242.82813169254888	25.240407842373543	12.538640937968701	14.0754404870558	1430.5150329834646	
Butr1	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	1329.4577952126892	24.737806352835403	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	
C130026I21Rik	12.538640937968701	12.538640937968701	19.6877179722988	14.912428382779105	13.920228065361801	14.264781816059152	34.3227709132953	188.92880229730304	55.804930275029	46.98514363115676	66.20205772720497	12.538640937968701	88.15530011856993	37.57667411463669	16.316924395972904	12.538640937968701	12.538640937968701	297.9581310386941	21.093534944278094	21.69037647780455	12.538640937968701	17.570598712879658	67.4132267141849	
C130074G19Rik	12.538640937968701	21.7827401770635	274.53619111784053	94.48821544619646	17.840803178636495	563.8104136342356	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	33.393114479054155	20.029319914260405	12.538640937968701	14.398047185390404	22.4255800650509	12.538640937968701	12.538640937968701	12.538640937968701	526.2816234567276	115.5383035731785	445.0005367947889	13.53991763684715	
C130080G10Rik	12.538640937968701	12.538640937968701	12.538640937968701	23.3424767599646	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	16.446176611698	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	1161.170583242723	12.538640937968701	12.538640937968701	
